timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
102340,-0.108913,114.5,1.0000,nan,33.831,1,0.0000,419.0,0,0,0.01573
108668,-0.161992,115.5,1.0000,nan,30.344,1,0.0000,407.0,0,0,0.01867
120092,-1.089617,136.3,0.0000,nan,81.540,1,1.0000,592.0,0,0,0.18874
126784,-1.181671,167.6,0.0000,nan,34.654,1,0.0000,419.0,0,0,0.08428
131796,0.138573,72.0,0.5000,nan,8.811,2,0.0000,331.5,0,0,0.05225
142912,-0.395833,164.5,1.0000,nan,30.237,2,0.0000,409.0,0,0,0.02829
149576,-0.934226,169.2,0.0000,nan,30.862,1,0.0000,407.0,0,0,0.06860
158676,-0.247698,114.6,0.0000,nan,58.690,1,0.0000,507.0,0,0,0.07764
164808,0.232014,120.4,1.0000,nan,34.916,1,0.0000,422.0,0,0,0.00740
179312,-0.811640,194.6,0.0000,nan,85.110,1,1.0000,599.0,0,0,0.13212
182924,-0.556683,154.8,1.0000,nan,2.293,1,0.0000,310.0,0,0,0.00093
192500,0.048905,130.8,0.0000,nan,61.045,1,0.0000,523.0,0,0,0.02238
198716,-0.200564,143.5,0.0000,nan,29.892,1,0.0000,405.0,0,0,0.11225
208264,0.079273,145.2,1.0000,nan,33.556,1,0.0000,421.0,0,0,0.00145
214144,-0.011632,139.9,0.0000,nan,22.958,1,0.0000,390.0,0,0,0.03156
220668,0.041422,113.4,0.0000,nan,31.851,1,0.0000,419.0,0,0,0.04134
229096,-0.100019,135.7,0.0000,nan,50.146,1,0.0000,482.0,0,0,0.02912
232708,0.567354,91.7,1.0000,nan,14.155,2,0.0000,353.0,0,0,0.01821
244300,-0.475699,164.5,0.0000,nan,81.451,1,1.0000,600.0,0,0,0.06219
247912,-0.584646,136.6,0.0000,nan,27.964,1,0.0000,421.0,0,0,0.03586
255892,-0.715536,114.8,0.0000,nan,30.228,1,0.0000,421.0,0,0,0.06482
262388,-0.656940,130.4,1.0000,nan,30.631,1,0.0000,422.0,0,0,0.04277
272328,-0.211639,151.0,0.0000,nan,57.270,1,0.0000,523.0,0,0,0.05043
275912,-0.149479,119.3,1.0000,nan,2.327,1,0.0000,310.0,0,0,0.00090
282184,0.447390,97.5,1.0000,nan,29.951,1,0.0000,419.0,0,0,0.00392
295400,-0.255750,183.8,1.0000,nan,37.284,2,0.0000,446.5,0,0,0.02196
298872,-0.463332,136.9,1.0000,nan,2.462,1,0.0000,310.0,0,0,0.00136
305900,-0.021327,103.9,0.0000,nan,30.584,1,0.0000,422.0,0,0,0.06138
312228,0.139093,119.0,0.0000,nan,26.372,1,0.0000,406.0,0,0,0.03002
315000,0.596285,78.4,1.0000,nan,2.345,1,0.0000,310.0,0,0,0.00074
321748,0.326453,94.1,0.0000,nan,29.476,1,0.0000,419.0,0,0,0.06801
328076,0.461087,116.6,1.0000,nan,26.613,1,0.0000,407.0,0,0,0.00200
337372,-0.029855,114.7,0.0000,nan,53.464,1,0.0000,513.0,0,0,0.04984
349020,-0.099145,183.4,0.0000,nan,76.508,1,0.0000,599.0,0,0,0.05085
359268,-0.467151,152.7,0.0000,nan,55.361,1,0.0000,524.0,0,0,0.05642
370272,-0.517650,178.8,0.0000,nan,74.456,1,1.0000,600.0,0,0,0.08679
376572,-0.605913,165.6,1.0000,nan,30.185,1,0.0000,421.0,0,0,0.02183
391048,-0.233875,166.5,0.0000,nan,76.661,1,1.0000,599.0,0,0,0.08936
397012,-0.127737,144.5,1.0000,nan,31.379,1,0.0000,419.0,0,0,0.02112
406532,-0.013954,143.4,0.0000,nan,29.928,1,0.0000,420.0,0,0,0.01654
415128,-0.724580,160.5,0.0000,nan,72.399,1,1.0000,599.0,0,0,0.12781
421820,-0.425010,172.8,1.0000,nan,30.617,1,0.0000,419.0,0,0,0.00724
433132,-0.842197,180.4,0.5000,nan,34.657,2,0.0000,439.5,0,0,0.01243
436660,-0.217409,108.7,0.0000,nan,29.209,1,0.0000,418.0,0,0,0.02188
447944,-0.688245,160.3,0.0000,nan,26.430,1,0.0000,406.0,0,0,0.09905
459424,-0.980460,165.3,1.0000,nan,74.797,1,1.0000,592.0,0,0,0.16591
465304,-0.954399,141.9,0.0000,nan,30.342,1,0.0000,422.0,0,0,0.08128
471716,-0.179972,112.2,0.0000,nan,28.603,1,0.0000,412.0,0,0,0.09450
481292,0.158839,146.6,1.0000,nan,29.920,1,0.0000,421.0,0,0,0.00707
487200,0.006346,140.4,1.0000,nan,22.892,1,0.0000,392.0,0,0,0.02540
498456,-0.861383,165.4,0.0000,nan,73.070,1,1.0000,597.0,0,0,0.09854
506744,-0.506818,132.8,0.5000,nan,15.931,2,0.0000,365.0,0,0,0.01172
513436,0.279523,117.9,1.0000,nan,29.420,1,0.0000,419.0,0,0,0.03994
519652,0.052415,114.9,0.0000,nan,29.217,1,0.0000,418.0,0,0,0.08107
523180,0.220353,84.0,0.0000,nan,27.119,1,0.0000,418.0,0,0,0.04146
529872,0.087849,116.8,1.0000,nan,29.429,1,0.0000,419.0,0,0,0.00490
541856,-0.888395,172.6,0.0000,nan,32.624,1,0.0000,431.0,0,0,0.19842
551180,-0.451807,143.4,0.0000,nan,52.773,1,0.0000,515.0,0,0,0.03548
562100,-0.731390,179.6,0.0000,nan,73.659,1,1.0000,600.0,0,0,0.03427
570472,-0.122956,134.1,1.0000,nan,47.131,1,0.0000,483.0,0,0,0.02078
582148,-0.362553,169.2,0.0000,nan,30.274,1,0.0000,422.0,0,0,0.04599
588280,-0.900366,163.6,0.0000,nan,29.659,1,0.0000,418.0,0,0,0.03429
596820,0.010235,134.5,1.0000,nan,45.197,1,0.0000,486.0,0,0,0.06497
603680,-0.093640,127.2,1.0000,nan,17.368,3,0.0000,375.0,0,0,0.01298
615188,-0.054160,139.3,1.0000,nan,21.126,3,0.0000,387.0,0,0,0.03540
621488,-0.418955,147.4,1.0000,nan,27.672,1,0.0000,406.0,0,0,0.02873
632744,-0.688717,165.1,0.0000,nan,74.773,1,1.0000,597.0,0,0,0.10542
640808,-0.101947,130.5,0.5000,nan,16.379,2,0.0000,365.0,0,0,0.02992
651728,-0.696118,169.0,0.5000,nan,25.660,2,0.0000,405.0,0,0,0.03563
666204,-1.051288,195.1,0.5000,nan,31.575,2,0.0000,415.0,0,0,0.05021
